"A","B"
644.693739770056,575.761651048764
576.964883677376,538.477673311394
423.93688919863,510.485399646333
687.932352799508,725.075295112192
561.65660836772,707.524552712512
454.105187772844,720.317573963913
814.644945065365,596.324568080417
488.200503986881,748.074180361545
568.738433835157,463.469209673086
739.273940470575,543.540428054023
669.526264501919,556.476685213137
613.555172461667,560.995348310408
619.449745349471,621.792174182067
681.854381042323,682.988003740866
579.386482875295,693.08634391216
543.935908347641,698.330668719444
507.7824818112,536.147144901304
590.993597538316,521.219468372362
679.806235880277,501.491798031577
449.433671289811,464.269521266577
742.312350656166,658.923537254214
514.996574932049,597.211685252529
556.423715680643,638.517740732131
576.445158116751,359.849183572948
619.281621173845,579.180509337398
494.642200764785,658.629162998415
626.931933985235,599.120379856769
550.905534711239,640.01021338439
749.67797266831,705.59212797807
596.0250444274,599.143812125665
529.233876555364,682.034403501243
474.250936571125,643.56494489532
544.420870203067,609.556559366033
567.238625308821,512.193365595106
466.220238358208,544.374920190594
614.318671393609,681.842878097751
423.499494678127,535.315034045064
662.403088045644,645.91920348701
743.30048329087,470.594627878502
587.833166367141,623.319290488793
395.895419604601,687.893916105827
606.45068467785,624.723244564831
377.929050450247,716.857789164347
767.840603326531,604.910172538843
543.754261418827,792.06579156344
734.743990376604,631.984921007821
748.289051696982,604.928560458109
773.483667165372,593.835681191838
529.710730599258,639.931395811563
696.842389665716,680.527328462915
585.118083593309,667.590590165875
621.619756181117,521.052689971333
505.676537688237,560.255621858693
428.734762282593,647.414724052911
437.282484225188,633.099473178014
760.797489065513,669.813102295482
600.880476887087,726.278932331053
738.57287183154,527.36108058675
821.49589148522,511.119671574955
504.992826164254,746.562156790476
