"estrutura","terreno","resistencia"
"suspensa","A",80.8635331339083
"cantilever","A",97.1833769251947
"estaiada","A",65.490641365866
"trelica","A",95.4776779863644
"suspensa","B",96.2796847568256
"cantilever","B",99.6266014030879
"estaiada","B",63.1086759681594
"trelica","B",91.5696056246419
"suspensa","C",82.3875023798226
"cantilever","C",88.9157449325047
"estaiada","C",64.4792470852761
"trelica","C",99.6664155506093
"suspensa","D",65.823994744641
"cantilever","D",91.5985999723411
"estaiada","D",85.9452215184745
"trelica","D",96.5188486560422
