"trat","y"
"a",65.9958850114726
"b",69.5479937824779
"c",62.0201563831891
"d",62.1307218738437
"e",68.047155373137
"a",58.4205333375663
"b",64.8919974988375
"c",61.1940583658201
"d",49.5671064007798
"e",65.5890055977927
"a",61.5790574032261
"b",70.8692815519947
"c",65.067517657952
"d",53.7175437936182
"e",71.0951219877145
"a",59.511088927956
"b",69.4310076317358
"c",66.3120855866911
"d",52.0087094906533
"e",76.9566105682647
"a",58.1457043705624
"b",69.7084663860332
"c",57.3356496013273
"d",51.9477198779194
"e",67.8128740267149
